Nepali,English
रूप,as
म,I
आफ्नो,his
कि,that
उहाँले,he
थियो,was
कोलागि,for
मा,on
हो,are
सग,with
तिनीहरू,they
हुन,be
मा,at
एक,one
छ,have
यो,this
देखि,from
द्वारा,by
तातो,hot
शब्द,word
तर,but
के,what
केही,some
छ,is
यो,it
तपाईं,you
वा,or
थियो,had
को,the
को,of
गर्न,to
र,and
एक,a
मा,in
हामी,we
गर्नसक्छन्,can
बाहिर,out
अन्य,other
थिए,were
जो,which
के,do
आफ्नो,their
समय,time
यदि,if
हुनेछ,will
कसरी,how
भने,said
एक,an
प्रत्येक,each
भन्नु,tell
गर्छ,does
सेट,set
तीन,three
चाहनुहुन्छ,want
हावा,air
राम्रो,well
पनि,also
खेल,play
साना,small
अन्त,end
डाल,put
घर,home
पढ्न,read
हात,hand
पोर्ट,port
ठूलो,large
हिज्जे,spell
जोड,add
पनि,even
भूमि,land
यहाँ,here
पर्छ,must
ठूलो,big
उच्च,high
यस्तो,such
पछ्याउन,follow
काम,act
किन,why
सोध्न,ask
पुरुष,men
परिवर्तन,change
गए,went
प्रकाश,light
दयालु,kind
बन्द,off
आवश्यक,need
घर,house
प्रयास,try
हामीलाई,us
फेरि,again
पशु,animal
बिन्दु,point
आमा,mother
संसार,world
निकट,near
निर्माण,build
आत्म,self
पृथ्वीमा,earth
पिता,father
कुनैपनि,any
नयाँ,new
काम,work
अंश,part
ले,take
प्राप्त,get
ठाउँ,place
गरे,made
बाँच्न,live
जहाँ,where
पछि,after
फिर्ता,back
साना,little
केवल,only
गोल,round
मानिस,man
वर्ष,year
आयो,came
शो,show
हरेक,every
राम्रो,good
मलाई,me
दिन,give
हाम्रो,our
अन्तर्गत,under
नाम,name
धेरै,very
माध्यम,through
बस,just
फारम,form
सजाय,sentence
ठूलो,great
विचार,think
भन्न,say
मदत,help
कम,low
नयाँ,line
फरक,differ
फलस्वरूप,turn
कारण,cause
धेरै,much
अर्थ,mean
अघि,before
कदम,move
सही,right
केटा,boy
पुराना,old
पनि,too
त्यसै,same
त्यो,she
सबै,all
त्यहाँ,there
जब,when
अप,up
प्रयोग,use
आफ्नो,your
बाटो,way
बारेमा,about
धेरै,many
त्यसपछि,then
तिनीहरूलाई,them
लेख्न,write
हुनेछ,would
जस्तै,like
यति,so
यी,these
उनको,her
लामो,long
बनाउन,make
कुरा,thing
हेर्नुहोस्,see
तिनलाई,him
दुई,two
छ,has
रुप,look
थप,more
दिन,day
सकेजति,could
जाने,go
आउन,come
गरे,did
नम्बर,number
कुनै,no
सबैभन्दा,most
मान्छे,people
मेरो,my
मा,over
थाहा,know
पानी,water
भन्दा,than
कल,call
पहिलो,first
जो,who
तल,down
पक्ष,side
भएको,been
अब,now
फेला,find
टाउको,head
खडा,stand
आफ्नै,own
पृष्ठ,page
चाहिए,should
देश,country
फेला,found
जवाफ,answer
स्कूल,school
बढ्दै,grow
अध्ययन,study
अझैपनि,still
सिक्न,learn
बिरूवा,plant
आवरण,cover
खाना,food
सूर्य,sun
चार,four
बीच,between
राज्य,state
राखन,keep
आँखा,eye
कहिल्यै,never
अन्तिम,last
गरौं,let
लाग्यो,thought
शहर,city
रूख,tree
पार,cross
खेत,farm
कडा,hard
सुरु,start
होस्,might
कथा,story
देख्यो,saw
टाढा,far
समुद्र,sea
नजिक,draw
बायाँ,left
लेट,late
रन,run
केछैन,don’t
जबकि,while
प्रेस,press
नजिक,close
रात,night
वास्तविक,real
जीवन,life
केही,few
उत्तर,north
पुस्तक,book
पूरा,carry
लिनुभयो,took
विज्ञान,science
खान,eat
कोठा,room
मित्र,friend
सुरु,began
विचार,idea
माछा,fish
पहाड,mountain
बन्द,stop
एकपटक,once
आधार,base
सुन्छन्,hear
घोडा,horse
कटौती,cut
निश्चित,sure
घडी,watch
रङ,color
अनुहार,face
काठ,wood
मुख्य,main
खुला,open
जस्तो,seem
सँगै,together
अर्को,next
सेतो,white
छोराछोरीको,children
सुरु,begin
मिल्यो,got
हिंड्न,walk
उदाहरणका,example
कम,ease
कागज,paper
समूह,group
सधैं,always
संगीत,music
ती,those
दुवै,both
मार्क,mark
अक्सर,often
पत्र,letter
सम्म,until
मील,mile
नदी,river
कार,car
खुट्टा,feet
हेरचाह,care
दोस्रो,second
पर्याप्त,enough
सादा,plain
केटी,girl
सामान्य,usual
जवान,young
तयार,ready
माथि,above
कहिल्यै,ever
रातो,red
सूची,list
यद्यपि,though
महसुस,feel
भाषण,talk
चरा,bird
चाँडै,soon
निकाय,body
कुकुर,dog
परिवार,family
प्रत्यक्ष,direct
छोड,leave
गीत,song
उपाय,measure
ढोका,door
उत्पादन,product
कालो,black
छोटो,short
सङ्ख्याको,numeral
वर्ग,class
हावा,wind
प्रश्न,question
के,happen
पूर्ण,complete
जहाज,ship
क्षेत्र,area
आधा,half
चट्टान,rock
आदेश,order
आगो,fire
दक्षिण,south
समस्या,problem
टुक्रा,piece
यसोभने,told
थाहथियो,knew
पारित,pass
पछि,since
शीर्ष,top
सारा,whole
राजा,king
सडक,street
इन्चको,inch
वृद्धि,multiply
केही,nothing
पाठ्यक्रम,course
रहन,stay
पाङ्ग्रा,wheel
पूर्ण,full
बल,force
नीलो,blue
वस्तु,object
निर्णय,decide
सतह,surface
गहिरो,deep
चन्द्र,moon
द्वीप,island
खुट्टा,foot
प्रणाली,system
व्यस्त,busy
परीक्षण,test
रेकर्ड,record
डुङ्गा,boat
सामान्य,common
सुन,gold
सम्भव,possible
विमान,plane
उनीपछिनयाँ,instead
सुक्खा,dry
आश्चर्य,wonder
हाँसेको,laugh
हजार,thousand
पहिले,ago
भाग्यो,ran
जाँच,check
खेल,game
आकार,shape
समानमनाना,equate
तातो,hot
मिस,miss
ल्याए,brought
गर्मी,heat
हिउँ,snow
टायर,tire
ल्याउन,bring
हो,yes
टाढा,distant
भर्ने,fill
पूर्व,east
उतार्न,paint
भाषा,language
बीचमा,among
एकाइ,unit
शक्ति,power
शहर,town
राम्रो,fine
निश्चित,certain
उड,fly
गिरावट,fall
नेतृत्व,lead
पुकारा,cry
अन्धकार,dark
मिसिन,machine
नोट,note
प्रतीक्षा,wait
योजना,plan
आंकडा,figure
तारा,star
बक्स,box
संज्ञा,noun
क्षेत्र,field
बाँकी,rest
सही,correct
सक्षम,able
पाउन्ड,pound
डन,done
सौन्दर्य,beauty
ड्राइव	,drive
उभिए	,stood
समावेश,contain
अगाडि,front
सिकाउँछन्,teach
हप्ता,week
अन्तिम,final
दिए,gave
हरियो,green
हरे,oh
छिटो,quick
विकास,develop
सागर,ocean
न्यानो,warm
निःशुल्क,free
मिनेट,minute
बलियो,strong
विशेष,special
मन,mind
पछि,behind
स्पष्ट,clear
पुच्छर,tail
उत्पादन,produce
वास्तवमा,fact
अन्तरिक्ष,space
सुनेको,heard
सबैभन्दराम्रो,best
घण्टा,hour
राम्रो,better
साँचो,true
समयमा,during
सय,hundred
पाँच,five
सम्झना,remember
कदम,step
प्रारम्भिक,early
पकड	,hold
पश्चिम,west
जमीन,ground
चासो,interest
पुग्न,reach
छिटो,fast
क्रिया,verb
गाउँछन्,sing
सुन्न,listen
छ,six
तालिका,table
यात्रा,travel
कम,less
बिहान,morning
दस,ten
सरल,simple
धेरै,several
स्वर,vowel
तिर,toward
युद्ध,war
सुते,lay
विरुद्ध,against
नमुना	,pattern
ढिलो,slow
केन्द्र,center
प्रेम,love
व्यक्ति,person
पैसा,money
सेवा,serve
देखा,appear
सडक,road
नक्शा,map
वर्षा,rain
नियम	,rule
शासन,govern
पुल,pull
चिसो,cold
सूचना,notice
आवाज,voice